lang	label	rule	shortcuts
en	R5	Wikipedia:Verifiability	['Wikipedia:Verifiability', 'Wikipedia:V', 'Wikipedia:VER', 'Wikipedia:VERIFY', 'Wikipedia:BURDEN', 'Wikipedia:SOURCE', 'Wikipedia:SOURCES', 'Wikipedia:NEWSBLOG', 'Wikipedia:NOTRELIABLE', 'Wikipedia:NOTRS', 'Wikipedia:QS', 'Wikipedia:SPS', 'Wikipedia:SELFPUB', 'Wikipedia:SELFPUBLISH', 'Wikipedia:BLOGS', 'Wikipedia:ABOUTSELF', 'Wikipedia:TWEET', 'Wikipedia:TWITTER', 'Wikipedia:SOCIALMEDIA', 'Wikipedia:CIRC', 'Wikipedia:CIRCULAR', 'Wikipedia:REFLOOP', 'Wikipedia:PAYWALL', 'Wikipedia:SOURCEACCESS', 'Wikipedia:RSUE', 'Wikipedia:NOENG', 'Wikipedia:NONENG', 'Wikipedia:VNOT', 'Wikipedia:ONUS', 'Wikipedia:FAIL', 'Wikipedia:FAILV', 'Wikipedia:FAILEDVERIFICATION', 'Wikipedia:REDFLAG', 'Wikipedia:EXCEPTIONAL', 'Wikipedia:EXTRAORDINARY', 'Wikipedia:ECREE', 'Wikipedia:OWNWORDS', 'Wikipedia:YTCOPYRIGHT', 'WP:Verifiability', 'WP:V', 'WP:VER', 'WP:VERIFY', 'WP:BURDEN', 'WP:SOURCE', 'WP:SOURCES', 'WP:NEWSBLOG', 'WP:NOTRELIABLE', 'WP:NOTRS', 'WP:QS', 'WP:SPS', 'WP:SELFPUB', 'WP:SELFPUBLISH', 'WP:BLOGS', 'WP:ABOUTSELF', 'WP:TWEET', 'WP:TWITTER', 'WP:SOCIALMEDIA', 'WP:CIRC', 'WP:CIRCULAR', 'WP:REFLOOP', 'WP:PAYWALL', 'WP:SOURCEACCESS', 'WP:RSUE', 'WP:NOENG', 'WP:NONENG', 'WP:VNOT', 'WP:ONUS', 'WP:FAIL', 'WP:FAILV', 'WP:FAILEDVERIFICATION', 'WP:REDFLAG', 'WP:EXCEPTIONAL', 'WP:EXTRAORDINARY', 'WP:ECREE', 'WP:OWNWORDS', 'WP:YTCOPYRIGHT', 'w.wiki/FVY']	
en	R6	Wikipedia:Biographies of living persons	['Wikipedia:Biographies of living persons', 'Wikipedia:BLP', 'Wikipedia:LIVE', 'Wikipedia:BLPSTYLE', 'Wikipedia:BLPBALANCE', 'Wikipedia:BLPRS', 'Wikipedia:BLPSOURCES', 'Wikipedia:BLPSOURCE', 'Wikipedia:BLPPRIMARY', 'Wikipedia:BLPSPS', 'Wikipedia:BLPSELFPUB', 'Wikipedia:BLPGOSSIP', 'Wikipedia:GRAPEVINE', 'Wikipedia:BLPREMOVE', 'Wikipedia:BLPEL', 'Wikipedia:BLPFR', 'Wikipedia:BLPSEEALSO', 'Wikipedia:AVOIDVICTIM', 'Wikipedia:PUBLICFIGURE', 'Wikipedia:WELLKNOWN', 'Wikipedia:BLPPUBLIC', 'Wikipedia:NOTPUBLICFIGURE', 'Wikipedia:NPF', 'Wikipedia:BLPPRIVACY', 'Wikipedia:DOB', 'Wikipedia:BLP1E', 'Wikipedia:BLPCRIME', 'Wikipedia:SUSPECT', 'Wikipedia:BLPNAME', 'Wikipedia:LPNAME', 'Wikipedia:BLPCOI', 'Wikipedia:BLPTALK', 'Wikipedia:BLPNAMEABUSE', 'Wikipedia:MUG', 'Wikipedia:BLPIMAGE', 'Wikipedia:BLPCAT', 'Wikipedia:BLPCRIMINAL', 'Wikipedia:BLPRACIST', 'Wikipedia:BDP', 'Wikipedia:BLPGROUP', 'Wikipedia:BLPEDIT', 'Wikipedia:BLPKIND', 'Wikipedia:BLPKINDNESS', 'Wikipedia:BIOSELF', 'Wikipedia:BLPSELF', 'Wikipedia:BLPCOMPLAIN', 'Wikipedia:BLPCOMPLAINT', 'Wikipedia:BLPADMINS', 'Wikipedia:BLPDS', 'Wikipedia:BLPDEL', 'Wikipedia:BLPDELETE', 'Wikipedia:BLPREQUESTDELETE', 'Wikipedia:BLPUNDEL', 'Wikipedia:BLPREQUESTRESTORE', 'WP:Biographies of living persons', 'WP:BLP', 'WP:LIVE', 'WP:BLPSTYLE', 'WP:BLPBALANCE', 'WP:BLPRS', 'WP:BLPSOURCES', 'WP:BLPSOURCE', 'WP:BLPPRIMARY', 'WP:BLPSPS', 'WP:BLPSELFPUB', 'WP:BLPGOSSIP', 'WP:GRAPEVINE', 'WP:BLPREMOVE', 'WP:BLPEL', 'WP:BLPFR', 'WP:BLPSEEALSO', 'WP:AVOIDVICTIM', 'WP:PUBLICFIGURE', 'WP:WELLKNOWN', 'WP:BLPPUBLIC', 'WP:NOTPUBLICFIGURE', 'WP:NPF', 'WP:BLPPRIVACY', 'WP:DOB', 'WP:BLP1E', 'WP:BLPCRIME', 'WP:SUSPECT', 'WP:BLPNAME', 'WP:LPNAME', 'WP:BLPCOI', 'WP:BLPTALK', 'WP:BLPNAMEABUSE', 'WP:MUG', 'WP:BLPIMAGE', 'WP:BLPCAT', 'WP:BLPCRIMINAL', 'WP:BLPRACIST', 'WP:BDP', 'WP:BLPGROUP', 'WP:BLPEDIT', 'WP:BLPKIND', 'WP:BLPKINDNESS', 'WP:BIOSELF', 'WP:BLPSELF', 'WP:BLPCOMPLAIN', 'WP:BLPCOMPLAINT', 'WP:BLPADMINS', 'WP:BLPDS', 'WP:BLPDEL', 'WP:BLPDELETE', 'WP:BLPREQUESTDELETE', 'WP:BLPUNDEL', 'WP:BLPREQUESTRESTORE']	
en	R7	Wikipedia:Assume good faith	['Wikipedia:Assume good faith', 'Wikipedia:GF', 'Wikipedia:AGF', 'Wikipedia:FAITH', 'Wikipedia:GOODFAITH', 'Wikipedia:AGFC', 'Wikipedia:DGF', 'Wikipedia:AOBF', 'WP:Assume good faith', 'WP:GF', 'WP:AGF', 'WP:FAITH', 'WP:GOODFAITH', 'WP:AGFC', 'WP:DGF', 'WP:AOBF']	
en	R8	Wikipedia:Be bold	['Wikipedia:Be bold', 'Wikipedia:BOLD', 'Wikipedia:DOIT', 'Wikipedia:FIXIT', 'Wikipedia:BOLDLY', 'Wikipedia:JUSTDOIT', 'Wikipedia:CAREFUL', 'Wikipedia:RECKLESS', 'Wikipedia:BOLDNOTOBLIGATORY', 'Wikipedia:BNO', 'Wikipedia:GLC', 'Wikipedia:BOLDGRAPHICS', 'WP:Be bold', 'WP:BOLD', 'WP:DOIT', 'WP:FIXIT', 'WP:BOLDLY', 'WP:JUSTDOIT', 'WP:CAREFUL', 'WP:RECKLESS', 'WP:BOLDNOTOBLIGATORY', 'WP:BNO', 'WP:GLC', 'WP:BOLDGRAPHICS']	
en	R9	Wikipedia:Citing sources	['Wikipedia:Citing sources', 'Wikipedia:CS', 'Wikipedia:CITE', 'Wikipedia:REF', 'Wikipedia:CITETYPE', 'Wikipedia:WHYCITE', 'Wikipedia:WHENNOTCITE', 'Wikipedia:CITEHOW', 'Wikipedia:HOWCITE', 'Wikipedia:CITEWEB', 'Wikipedia:PAGENUM', 'Wikipedia:PAGELINKS', 'Wikipedia:BOOKLINKS', 'Wikipedia:GBOOKS', 'Wikipedia:SAYWHEREYOUREADIT', 'Wikipedia:SAYWHEREYOUGOTIT', 'Wikipedia:SWYRT', 'Wikipedia:SWYGT', 'Wikipedia:SAYWHERE', 'Wikipedia:ANNOTATION', 'Wikipedia:FOOTQUOTE', 'Wikipedia:FQ', 'Wikipedia:INCITE', 'Wikipedia:INLINECITE', 'Wikipedia:REFLIST', 'Wikipedia:ASL', 'Wikipedia:CITEFOOT', 'Wikipedia:EXPLNOTESECT', 'Wikipedia:ILCLUTTER', 'Wikipedia:INLINECLUTTER', 'Wikipedia:INLINECITECLUTTER', 'Wikipedia:IBID', 'Wikipedia:OPCIT', 'Wikipedia:DUPCITES', 'Wikipedia:DUPREF', 'Wikipedia:CITESHORT', 'Wikipedia:SFN', 'Wikipedia:CITESTYLE', 'Wikipedia:CITEVAR', 'Wikipedia:WHENINROME', 'Wikipedia:CS:EMBED', 'Wikipedia:CONLINK', 'Wikipedia:INDICATEAVAIL', 'Wikipedia:SOURCELINKS', 'Wikipedia:DEADREF', 'Wikipedia:TSI', 'Wikipedia:INTEGRITY', 'Wikipedia:CITEBUNDLE', 'Wikipedia:BUNDLING', 'Wikipedia:INTEXT', 'Wikipedia:GENREF', 'Wikipedia:NOCITE', 'Wikipedia:BLPCITE', 'Wikipedia:CITECONSENSUS', 'Wikipedia:CITEGENERATORS', 'WP:Citing sources', 'WP:CS', 'WP:CITE', 'WP:REF', 'WP:CITETYPE', 'WP:WHYCITE', 'WP:WHENNOTCITE', 'WP:CITEHOW', 'WP:HOWCITE', 'WP:CITEWEB', 'WP:PAGENUM', 'WP:PAGELINKS', 'WP:BOOKLINKS', 'WP:GBOOKS', 'WP:SAYWHEREYOUREADIT', 'WP:SAYWHEREYOUGOTIT', 'WP:SWYRT', 'WP:SWYGT', 'WP:SAYWHERE', 'WP:ANNOTATION', 'WP:FOOTQUOTE', 'WP:FQ', 'WP:INCITE', 'WP:INLINECITE', 'WP:REFLIST', 'WP:ASL', 'WP:CITEFOOT', 'WP:EXPLNOTESECT', 'WP:ILCLUTTER', 'WP:INLINECLUTTER', 'WP:INLINECITECLUTTER', 'WP:IBID', 'WP:OPCIT', 'WP:DUPCITES', 'WP:DUPREF', 'WP:CITESHORT', 'WP:SFN', 'WP:CITESTYLE', 'WP:CITEVAR', 'WP:WHENINROME', 'WP:CS:EMBED', 'WP:CONLINK', 'WP:INDICATEAVAIL', 'WP:SOURCELINKS', 'WP:DEADREF', 'WP:TSI', 'WP:INTEGRITY', 'WP:CITEBUNDLE', 'WP:BUNDLING', 'WP:INTEXT', 'WP:GENREF', 'WP:NOCITE', 'WP:BLPCITE', 'WP:CITECONSENSUS', 'WP:CITEGENERATORS']	
en	R10	Wikipedia:Etiquette	['Wikipedia:Etiquette', 'Wikipedia:EQ', 'Wikipedia:ETIQ', 'Wikipedia:WQ', 'Wikipedia:WQT', 'Wikipedia:INDCRIT', 'Wikipedia:AVOIDABUSE', 'Wikipedia:DOOR', 'WP:Etiquette', 'WP:EQ', 'WP:ETIQ', 'WP:WQ', 'WP:WQT', 'WP:INDCRIT', 'WP:AVOIDABUSE', 'WP:DOOR']	
en	R11	Wikipedia:No personal attacks	['Wikipedia:No personal attacks', 'Wikipedia:NPA', 'Wikipedia:NOPA', 'Wikipedia:NPA#WHATIS', 'Wikipedia:WIAPA', 'Wikipedia:AVOIDYOU', 'Wikipedia:RPA', 'WP:No personal attacks', 'WP:NPA', 'WP:NOPA', 'WP:NPA#WHATIS', 'WP:WIAPA', 'WP:AVOIDYOU', 'WP:RPA']	
en	R12	Wikipedia:Notability	['Wikipedia:Notability', 'Wikipedia:N', 'Wikipedia:GNG', 'Wikipedia:SIGCOV', 'Wikipedia:SNG', 'Wikipedia:NNC', 'Wikipedia:NLISTITEM', 'Wikipedia:NOTEWORTHY', 'Wikipedia:ARTN', 'Wikipedia:CONTN', 'Wikipedia:NRV', 'Wikipedia:NRVE', 'Wikipedia:NEXIST', 'Wikipedia:NPOSSIBLE', 'Wikipedia:NTEMP', 'Wikipedia:NOTTEMPORARY', 'Wikipedia:NSUSTAINED', 'Wikipedia:SUSTAINED', 'Wikipedia:PAGEDECIDE', 'Wikipedia:NOPAGE', 'Wikipedia:WHYN', 'Wikipedia:SPIP', 'Wikipedia:SBST', 'Wikipedia:NOTESAL', 'Wikipedia:LISTN', 'Wikipedia:NLIST', 'Wikipedia:FAILN', 'WP:Notability', 'WP:N', 'WP:GNG', 'WP:SIGCOV', 'WP:SNG', 'WP:NNC', 'WP:NLISTITEM', 'WP:NOTEWORTHY', 'WP:ARTN', 'WP:CONTN', 'WP:NRV', 'WP:NRVE', 'WP:NEXIST', 'WP:NPOSSIBLE', 'WP:NTEMP', 'WP:NOTTEMPORARY', 'WP:NSUSTAINED', 'WP:SUSTAINED', 'WP:PAGEDECIDE', 'WP:NOPAGE', 'WP:WHYN', 'WP:SPIP', 'WP:SBST', 'WP:NOTESAL', 'WP:LISTN', 'WP:NLIST', 'WP:FAILN','w.wiki/3qq']	
en	R13	Wikipedia:Please do not bite the newcomers	['Wikipedia:Please do not bite the newcomers', 'Wikipedia:BITE', 'Wikipedia:NOBITING', 'Wikipedia:NEWBIES', 'Wikipedia:NOOB', 'Wikipedia:DBN', 'Wikipedia:IJME', 'WP:Please do not bite the newcomers', 'WP:BITE', 'WP:NOBITING', 'WP:NEWBIES', 'WP:NOOB', 'WP:DBN', 'WP:IJME']	
en	R14	Wikipedia:What Wikipedia is not	['Wikipedia:What Wikipedia is not', 'Wikipedia:NOT', 'Wikipedia:NOTPAPER', 'Wikipedia:NOTEVERYTHING', 'Wikipedia:NOTDICTIONARY', 'Wikipedia:DICTIONARY', 'Wikipedia:FORUM', 'Wikipedia:NOTESSAY', 'Wikipedia:NOTFORUM', 'Wikipedia:SOAPBOX', 'Wikipedia:PROMOTION', 'Wikipedia:SOAP', 'Wikipedia:PROMO', 'Wikipedia:NOTADVOCACY', 'Wikipedia:NOTOPINION', 'Wikipedia:NOTSCANDAL', 'Wikipedia:NOTGOSSIP', 'Wikipedia:LINKFARM', 'Wikipedia:NOTMIRROR', 'Wikipedia:NOTREPOSITORY', 'Wikipedia:NOTGALLERY', 'Wikipedia:NOTWEBHOST', 'Wikipedia:NOTSOCIALNETWORK', 'Wikipedia:NOTCV', 'Wikipedia:NOTFILESTORAGE', 'Wikipedia:NOTMEMORIAL', 'Wikipedia:NOTDIRECTORY', 'Wikipedia:NOTCATALOG', 'Wikipedia:NOTGENEALOGY', 'Wikipedia:NOTTVGUIDE', 'Wikipedia:NOTGUIDE', 'Wikipedia:NOTHOWTO', 'Wikipedia:NOTTEXTBOOK', 'Wikipedia:CRYSTAL', 'Wikipedia:CRYSTALBALL', 'Wikipedia:RUMOUR', 'Wikipedia:RUMOR', 'Wikipedia:NOTNEWS', 'Wikipedia:NOTWHOSWHO', 'Wikipedia:INDISCRIMINATE', 'Wikipedia:NOTDATABASE', 'Wikipedia:NOTPLOT', 'Wikipedia:NOTLYRICS', 'Wikipedia:NOTSTATS', 'Wikipedia:NOTCENSORED', 'Wikipedia:WINC', 'Wikipedia:CENSOR', 'Wikipedia:NOTANARCHY', 'Wikipedia:NOTFREESPEECH', 'Wikipedia:DEM', 'Wikipedia:NOTDEMOCRACY', 'Wikipedia:NOTBURO', 'Wikipedia:BURO', 'Wikipedia:NOTLAB', 'Wikipedia:BATTLEGROUND', 'Wikipedia:BATTLE', 'Wikipedia:NOTCOMPULSORY', 'Wikipedia:CHOICE', 'Wikipedia:BADIDEA', 'Wikipedia:NOTSTUPID', 'Wikipedia:WHATISTOBEDONE', 'WP:What Wikipedia is not', 'WP:NOT', 'WP:NOTPAPER', 'WP:NOTEVERYTHING', 'WP:NOTDICTIONARY', 'WP:DICTIONARY', 'WP:FORUM', 'WP:NOTESSAY', 'WP:NOTFORUM', 'WP:SOAPBOX', 'WP:PROMOTION', 'WP:SOAP', 'WP:PROMO', 'WP:NOTADVOCACY', 'WP:NOTOPINION', 'WP:NOTSCANDAL', 'WP:NOTGOSSIP', 'WP:LINKFARM', 'WP:NOTMIRROR', 'WP:NOTREPOSITORY', 'WP:NOTGALLERY', 'WP:NOTWEBHOST', 'WP:NOTSOCIALNETWORK', 'WP:NOTCV', 'WP:NOTFILESTORAGE', 'WP:NOTMEMORIAL', 'WP:NOTDIRECTORY', 'WP:NOTCATALOG', 'WP:NOTGENEALOGY', 'WP:NOTTVGUIDE', 'WP:NOTGUIDE', 'WP:NOTHOWTO', 'WP:NOTTEXTBOOK', 'WP:CRYSTAL', 'WP:CRYSTALBALL', 'WP:RUMOUR', 'WP:RUMOR', 'WP:NOTNEWS', 'WP:NOTWHOSWHO', 'WP:INDISCRIMINATE', 'WP:NOTDATABASE', 'WP:NOTPLOT', 'WP:NOTLYRICS', 'WP:NOTSTATS', 'WP:NOTCENSORED', 'WP:WINC', 'WP:CENSOR', 'WP:NOTANARCHY', 'WP:NOTFREESPEECH', 'WP:DEM', 'WP:NOTDEMOCRACY', 'WP:NOTBURO', 'WP:BURO', 'WP:NOTLAB', 'WP:BATTLEGROUND', 'WP:BATTLE', 'WP:NOTCOMPULSORY', 'WP:CHOICE', 'WP:BADIDEA', 'WP:NOTSTUPID', 'WP:WHATISTOBEDONE']	
en	R15	Wikipedia:Do not disrupt Wikipedia to illustrate a point	['Wikipedia:Do not disrupt Wikipedia to illustrate a point', 'Wikipedia:POINT', 'Wikipedia:POINTy', 'Wikipedia:NOTPOINTy', 'WP:Do not disrupt Wikipedia to illustrate a point', 'WP:POINT', 'WP:POINTy', 'WP:NOTPOINTy']	
es	R1	Wikipedia:Los cinco pilares	['Wikipedia:Los cinco pilares', 'Wikipedia:5P', 'Wikipedia:L5P', 'WP:Los cinco pilares', 'WP:5P', 'WP:L5P']	
es	R2	Wikipedia:Ignora las normas	['Wikipedia:Ignora las normas', 'Wikipedia:IN', 'WP:Ignora las normas', 'WP:IN']	
es	R3	Wikipedia:Punto de vista neutral	['Wikipedia:Punto de vista neutral', 'Wikipedia:PVN', 'Wikipedia:NPOV', 'WP:Punto de vista neutral', 'WP:PVN', 'WP:NPOV']	
es	R4	Wikipedia:Wikipedia no es una fuente primaria	['Wikipedia:Wikipedia no es una fuente primaria', 'Wikipedia:FP', 'Wikipedia:NFP', 'Wikipedia:IO', 'Wikipedia:OR', 'WP:Wikipedia no es una fuente primaria', 'WP:FP', 'WP:NFP', 'WP:IO', 'WP:OR']	
es	R5	Wikipedia:Verificabilidad	['Wikipedia:Verificabilidad', 'Wikipedia:VER', 'WP:Verificabilidad', 'WP:VER']	
es	R6	Wikipedia:Biografías de personas vivas	['Wikipedia:Biografías de personas vivas', 'Wikipedia:BPV', 'Wikipedia:PV', 'Wikipedia:UNEVENTO', 'Wikipedia:BPV1E', 'WP:Biografías de personas vivas', 'WP:BPV', 'WP:PV', 'WP:UNEVENTO', 'WP:BPV1E']	
es	R7	Wikipedia:Presume buena fe	['Wikipedia:Presume buena fe', 'Wikipedia:BF', 'Wikipedia:PBF', 'WP:Presume buena fe', 'WP:BF', 'WP:PBF']	
es	R8	Wikipedia:Sé valiente al editar páginas	['Wikipedia:Sé valiente al editar páginas', 'Wikipedia:SV', 'Wikipedia:Sé Valiente', 'Wikipedia:Sé valiente', 'WP:Sé valiente al editar páginas', 'WP:SV', 'WP:Sé Valiente', 'WP:Sé valiente']	
es	R9	Wikipedia:Referencias	['Wikipedia:Referencias', 'Wikipedia:CITAR', 'Wikipedia:REF', 'Wikipedia:PIE', 'Wikipedia:NOTASALPIE', 'Wikipedia:AGRUPAR', 'Wikipedia:REFSAGRUPADAS', 'Wikipedia:REFGEN', 'WP:Referencias', 'WP:CITAR', 'WP:REF', 'WP:PIE', 'WP:NOTASALPIE', 'WP:AGRUPAR', 'WP:REFSAGRUPADAS', 'WP:REFGEN']	
es	R10	Wikipedia:Etiqueta	['Wikipedia:Etiqueta', 'Wikipedia:E', 'Wikipedia:ETI', 'Wikipedia:ETIQUETA', 'WP:Etiqueta', 'WP:E', 'WP:ETI', 'WP:ETIQUETA']	
es	R11	Wikipedia:No hagas ataques personales	['Wikipedia:No hagas ataques personales', 'Wikipedia:NAP', 'Wikipedia:ATP', 'Wikipedia:NOAP', 'Wikipedia:SUELO', 'WP:No hagas ataques personales', 'WP:NAP', 'WP:ATP', 'WP:NOAP', 'WP:SUELO']	
es	R12	Wikipedia:Artículos sin relevancia aparente	['Wikipedia:Artículos sin relevancia aparente', 'Wikipedia:ASR', 'Wikipedia:SRA', 'WP:Artículos sin relevancia aparente', 'WP:ASR', 'WP:SRA']	
es	R13	Wikipedia:No morder a los novatos	['Wikipedia:No morder a los novatos', 'Wikipedia:NMN', 'Wikipedia:NOVATO', 'WP:No morder a los novatos', 'WP:NMN', 'WP:NOVATO']	
